"1","Chak Two Hundred Forty-nine Thal Development Authority","PK",18126,"2017-10-03","2007-04-09"
"8","San Fernando del Valle de Catamarca","AR",188812,"2016-01-30","2004-03-08"
"15","Montecchio Maggiore-Alte Ceccato","IT",20815,"2014-05-01","2011-01-02"
"22","Chak Five Hundred Seventy-five","PK",24295,"2017-09-04","1998-12-13"
"29","la Nova Esquerra de l'Eixample","ES",58224,"2017-05-24","2009-08-29"
"100","Las Palmas de Gran Canaria","ES",381847,"2018-03-09","2011-04-15"
"101","Kampung Pasir Gudang Baru","MY",145639,"2012-01-17","1994-01-21"
"135","Saint-Jean-sur-Richelieu","CA",71613,"2016-06-22","2001-09-29"
"136","Salaberry-de-Valleyfield","CA",38662,"2016-06-22","2001-08-30"
"170","El Puerto de Santa Maria (El Puerto de Santa María)","ES",87696,"2012-12-15","1992-08-22"
"204","Marechal Candido Rondon (Marechal Cândido Rondon)","BR",43028,"2012-08-03","2009-02-05"
"238","Pereiaslav-Khmelnytskyi","UA",36527,"2018-11-26","2005-06-02"
"239","Budapest XXII. keruelet (Budapest XXII. kerület)","HU",50499,"2010-04-01","2010-03-02"
"240","Budapest XVII. keruelet (Budapest XVII. kerület)","HU",78250,"2010-04-01","2009-04-06"
"274","Santo Antonio de Jesus (Santo Antônio de Jesus)","BR",73957,"2012-08-03","2008-02-06"
"275","Sao Francisco do Conde (São Francisco do Conde)","BR",24614,"2012-08-03","2008-07-05"
"276","Barra de Sao Francisco (Barra de São Francisco)","BR",20743,"2012-08-03","2007-11-08"
"310","San Francisco Acuautla","MX",27960,"2018-11-03","2017-03-08"
"311","San Francisco Cuaxusco","MX",24900,"2018-11-03","2017-11-03"
"312","Budapest XIII. keruelet (Budapest XIII. kerület)","HU",113531,"2016-10-14","2009-01-19"
"346","San Pedro Sacatepequez (San Pedro Sacatepéquez)","GT",40021,"2018-12-05","2018-02-08"
"347","Dvur Kralove nad Labem (Dvůr Králové nad Labem)","CZ",16150,"2019-03-20","2013-08-23"
"348","Budapest XXI. keruelet (Budapest XXI. kerület)","HU",76339,"2010-04-01","1996-07-08"
"382","San Fernando de Apure","VE",78779,"2017-05-06","1998-12-12"
"383","San Pedro del Pinatar","ES",23738,"2012-03-04","1993-03-14"
"417","Neufahrn bei Freising","DE",18255,"2013-02-19","1994-01-25"
"418","el Besos i el Maresme (el Besòs i el Maresme)","ES",23254,"2017-05-24","2002-12-29"
"419","East Rancho Dominguez","US",15135,"2012-06-03","2010-12-06"
"420","Villafranca di Verona","IT",15895,"2015-06-24","2008-12-27"
"421","Tepatlaxco de Hidalgo","MX",16085,"2018-11-14","2003-09-19"
"422","El Abiodh Sidi Cheikh","DZ",39283,"2012-01-19","2009-12-20"
"456","Saint-Germain-en-Laye","FR",41142,"2019-04-10","2005-11-14"
"457","Cernusco sul Naviglio","IT",29078,"2015-08-08","2008-05-11"
"458","N'diareme limamoulaye (N’diareme limamoulaye)","SN",35171,"2016-03-15","2009-06-20"
"492","Piotrkow Trybunalski (Piotrków Trybunalski)","PL",80128,"2010-10-16","1990-09-21"
"493","Weinstadt-Endersbach","DE",26166,"2013-02-16","2005-06-23"
"494","Kirchheim unter Teck","DE",40206,"2013-02-16","2005-07-23"
"528","Chalfont Saint Peter","GB",20059,"2018-07-03","2009-01-06"
"529","Sao Sebastiao do Cai (São Sebastião do Caí)","BR",19012,"2012-08-03","2007-09-09"
"530","Presidente Venceslau","BR",34026,"2012-08-03","2008-07-05"
"564","Saint-Martin-d'Heres (Saint-Martin-d’Hères)","FR",35528,"2016-02-18","2012-02-24"
"565","Santa Teresa del Tuy","VE",278890,"2018-08-08","1997-10-17"
"566","Lutherville-Timonium","US",15814,"2017-12-13","2001-09-18"
"600","Martinez de la Torre (Martínez de la Torre)","MX",60074,"2018-11-03","2016-12-08"
"601","Jose Mariano Jimenez (José Mariano Jiménez)","MX",34281,"2018-11-03","2016-11-08"
"602","Sueyoshicho-ninokata (Sueyoshichō-ninokata)","JP",19986,"2017-04-09","2012-10-12"
"636","Stantsiya Novyy Afon","GE",26636,"2013-10-29","1996-06-05"
"637","Puyang Chengguanzhen","CN",666322,"2014-07-08","1993-08-17"
"638","Neuburg an der Donau","DE",28370,"2014-01-16","2000-09-21"
"672","Tomaszow Mazowiecki (Tomaszów Mazowiecki)","PL",67197,"2010-10-10","1990-10-20"
"673","San Jose de Guanipa (San José de Guanipa)","VE",62128,"2012-01-05","1996-01-14"
"674","Ladang Seri Kundang","MY",23307,"2012-01-17","1991-06-26"
"708","Santiago del Estero","AR",354692,"2016-01-30","2006-08-05"
"709","Weinzierl bei Krems","AT",24092,"2013-07-28","2005-01-31"
"710","San Juan Capistrano","US",36454,"2017-03-09","2004-08-14"
"744","Champigny-sur-Marne","FR",76726,"2016-02-18","2004-02-21"
"745","Monte Azul Paulista","BR",18117,"2012-08-03","2010-05-06"
"746","Sao Jose de Ribamar (São José de Ribamar)","BR",27777,"2012-08-03","2010-08-04"
"780","Santa Rosa Jauregui","MX",18508,"2018-11-03","1999-07-11"
"781","Parras de la Fuente","MX",33817,"2018-11-03","1999-11-08"
"782","Xicotepec de Juarez (Xicotepec de Juárez)","MX",39803,"2018-11-03","1999-05-12"
"915","San Pedro de Jujuy","AR",58430,"2019-03-21","2002-03-30"
"916","Wijk bij Duurstede","NL",17465,"2017-10-17","2010-12-23"
"917","Saint Thomas Mount","IN",43223,"2014-10-14","2010-06-17"
"1116","Fort Leonard Wood","US",15061,"2017-05-23","2010-11-26"
"1117","Greater Northdale","US",22079,"2011-05-14","1999-10-19"
"1316","Szigetszentmiklos (Szigetszentmiklós)","HU",24874,"2014-11-05","2005-11-12"
"1317","Weston-super-Mare","GB",82903,"2011-03-03","1990-07-11"
"1483","Metairie Terrace","US",142489,"2006-01-17","2004-04-22"
"1781","East Longmeadow","US",15102,"2017-05-23","2011-05-30"
"1980","Nishishinminato","JP",35994,"2017-04-09","2001-04-18"
"2179","South Portland","US",25556,"2017-05-23","1999-06-02"
"2411","Cagayan de Oro","PH",445103,"2017-12-13","2016-12-13"
"2561","Cimarron Hills","US",16161,"2018-03-23","1999-04-02"
"2991","Trujillo Alto","PR",54189,"2015-08-03","1995-06-09"
"3369","Ponte de Lima","PT",44667,"2018-04-30","2005-05-03"
"3370","Luang Prabang","LA",47378,"2015-09-05","1995-08-11"
"4493","Tsotsin-Yurt","RU",15970,"2018-11-06","2016-06-09"
"6738","San Carlos","CO",22678,"2018-05-09","2017-09-11"
"7861","Ponferrada","ES",68736,"2012-12-08","2002-11-11"
"8588","Grandview","US",25256,"2017-05-23","2010-08-28"
"9447","Volksrust","ZA",43378,"2019-03-18","2015-12-19"
"10372","Si Sa Ket","TH",44751,"2012-01-16","2002-11-19"
"10373","Sam Phran","TH",37115,"2012-01-16","2002-10-20"
"11661","Arbroath","GB",23640,"2017-06-12","2010-05-15"
"12322","Kobuleti","GE",18600,"2018-01-10","1997-09-17"
"12323","Pucallpa","PE",310750,"2012-07-19","1992-04-25"
"12324","Pirapora","BR",51656,"2017-08-18","2001-08-22"
"13018","Belidzhi","RU",16078,"2012-01-19","2004-05-25"
"13448","Elmhurst","US",113364,"2017-04-16","1996-12-22"
"13449","Flatbush","US",93361,"2017-04-16","1996-07-25"
"13450","Catarman","PH",47449,"2018-01-16","2000-05-25"
"13451","Jhargram (Jhārgrām)","IN",57796,"2018-05-27","2002-01-01"
"14013","Kasukabe","JP",206915,"2017-07-22","2009-09-27"
"14014","Ishigaki","JP",44802,"2017-07-22","2009-08-28"
"14015","Qurayyat","SA",102903,"2016-10-23","2010-10-25"
"14544","Gandevi","IN",16240,"2014-10-13","2003-08-17"
"14545","Dahegam (Dahegām)","IN",40671,"2014-10-13","2003-09-16"
"14546","Bokajan (Bokajān)","IN",16561,"2014-10-13","2003-03-20"
"15207","Abilene","US",121721,"2017-03-09","2004-08-14"
"15208","Beckley","US",17056,"2017-03-09","2004-05-16"
"15209","Hayward","US",158289,"2017-03-09","2005-02-10"
"16200","Morales","GT",18994,"2015-02-06","2004-12-10"
"16201","Makinsk","KZ",17711,"2016-05-07","2003-05-16"
"16202","Florida","CO",47173,"2018-09-05","2013-10-11"
"17028","Paterno (Paternò)","IT",46030,"2014-04-13","1994-12-19"
"17029","Caivano","IT",34604,"2014-04-13","1995-01-18"
"17030","Batouri","CM",43821,"2012-01-16","1992-10-22"
"17031","Mae Sot","TH",44563,"2012-01-16","1992-09-22"
"17395","Dazaifu","JP",70587,"2017-07-22","2014-08-27"
"17396","Usagara","TZ",15514,"2016-07-26","2009-12-30"
"17562","Massama (Massamá)","PT",28112,"2018-02-14","2014-11-17"
"17563","Halfaya (Ḩalfāyā)","SY",23403,"2017-10-30","2000-04-07"
"17564","Lodhran","PK",97249,"2017-11-07","1998-08-14"
"17565","Aubagne","FR",44844,"2019-03-12","2010-08-16"
"17566","Izmayil","UA",82485,"2017-12-07","2008-11-09"
"17567","Vilnius","LT",542366,"2019-02-25","2005-08-02"
"17568","Moundou","TD",135167,"2019-03-12","2002-03-21"
"17569","Sanghar","PK",62033,"2018-03-06","2007-10-10"
"17570","Kundian","PK",35406,"2018-03-06","2007-10-10"
"17571","Sumperk (Šumperk)","CZ",28768,"2019-03-20","2005-02-21"
"17572","Hranice","CZ",19582,"2019-03-20","2004-11-23"
"17573","Teplice","CZ",51223,"2019-03-20","2005-02-21"
